name,ra,dec
VCC 1167,12.48672,7.8787
VCC 571,12.3781,7.95036
NGC 4472,12.49633,8.00039
VCC 1254,12.50143,8.0738
VCC 1049,12.46523,8.09047
NGC 4434,12.46019,8.15431
NGC 4464,12.48925,8.15656
NGC 4318,12.37869,8.19827
VCC 992,12.45519,8.21285
NGC 7626,23.34514,8.21706
VCC 503,12.36395,8.541
VCC 747,12.41327,8.99153
NGC 4483,12.51129,9.01565
IC 3487,12.55374,9.39724
VCC 1895,12.69777,9.40291
VCC 1252,12.50056,9.47434
NGC 524,1.41325,9.53878
NGC 4578,12.62515,9.55511
NGC 4417,12.44739,9.58424
NGC 4417,12.44739,9.58424
NGC 4442,12.46775,9.80368
VCC 529,12.36905,9.8945
IC 3633,12.66979,9.89611
IC 3328,12.43274,10.05374
IC 3602,12.63525,10.08245
IC 3025,12.17308,10.18847
IC 3773,12.78758,10.20355
IC 3468,12.53728,10.25147
IC 3383,12.47009,10.29771
VCC 1661,12.60688,10.38467
IC 3647,12.68142,10.47611
UGC 3755,7.23102,10.52106
VCC 949,12.44847,10.66578
VCC 1948,12.71612,10.68193
NGC 4482,12.50288,10.77951
IC 3490,12.55386,10.92855
VCC 1363,12.5243,10.9361
NGC 821,2.1392,10.99501
IC 613,10.45216,11.01068
IC 3652,12.68294,11.18444
NGC 4660,12.74221,11.19053
NGC 4352,12.40139,11.21806
NGC 4762,12.8822,11.23077
VCC 1512,12.55963,11.26194
IC 3470,12.53982,11.26291
NGC 4754,12.87154,11.31364
NGC 4528,12.56836,11.32123
VCC 1308,12.51275,11.34322
IC 3653,12.6877,11.38724
NGC 4564,12.60749,11.4394
NGC 4638,12.71317,11.44244
NGC 4649,12.72779,11.55267
NGC 4621,12.70064,11.64731
NGC 4371,12.41539,11.70428
IC 809,12.70241,11.75432
VCC 452,12.35133,11.7547
NGC 4452,12.47869,11.75506
IC 3381,12.47081,11.78983
IC 3461,12.5341,11.89002
IC 3101,12.28879,11.94351
IC 3509,12.56987,12.04898
VCC 1073,12.46905,12.09329
IC 3779,12.78904,12.16655
NGC 4550,12.59179,12.22119
VCC 1886,12.69428,12.24738
NGC 4551,12.59388,12.26397
NGC 4486A,12.51603,12.27033
NGC 4431,12.4576,12.29031
NGC 4478,12.50494,12.3268
NGC 4476,12.49975,12.34863
VCC 1627,12.59368,12.38204
NGC 4486,12.51372,12.39122
VCC 1185,12.48987,12.45067
VCC 940,12.44641,12.45405
NGC 4486B,12.50888,12.49022
IC 3586,12.61522,12.52004
NGC 4552,12.5944,12.55611
VCC 871,12.4349,12.55967
VCC 965,12.45087,12.56054
NGC 3379,10.79711,12.58161
NGC 3384,10.8047,12.6294
VCC 1386,12.53094,12.65666
VCC 1386,12.53094,12.65666
VCC 1539,12.56854,12.74156
IC 3540,12.59089,12.75031
VCC 896,12.43961,12.78663
NGC 4267,12.32926,12.79842
VCC 1077,12.46953,12.8068
NGC 4387,12.42825,12.81045
VCC 1104,12.47446,12.82366
CGCG 065-015,10.38993,12.83507
IC 3492,12.5555,12.85356
IC 3635,12.67038,12.87487
NGC 4374,12.41768,12.88707
NGC 4406,12.4366,12.94611
VCC 200,12.27603,13.03142
NGC 4435,12.46124,13.0789
NGC 4216,12.26509,13.14958
NGC 4458,12.48265,13.24183
VCC 1272,12.50445,13.30751
IC 3501,12.56434,13.32253
LGC 0050,10.85042,13.33333
NGC 4473,12.49691,13.4294
NGC 4479,12.50511,13.57756
IC 3735,12.75567,13.69285
NGC 3489,11.00516,13.90119
NGC 4459,12.48334,13.97856
NGC 3377,10.7951,13.98564
IC 3019,12.15619,13.99241
NGC 4474,12.49821,14.06862
IC 3442,12.52228,14.1151
VCC 1105,12.47429,14.15574
IC 3032,12.18548,14.27492
VCC 1714,12.62378,14.3134
VCC 240,12.29203,14.3556
UGC 4115,7.9506,14.39101
IC 3065,12.2535,14.43287
VCC 1876,12.68904,14.70066
IC 3612,12.65129,14.73033
VCC 543,12.37209,14.76082
NGC 4377,12.42009,14.76228
NGC 4262,12.32517,14.87758
VCC 158,12.26115,15.00557
IC 798,12.54262,15.41541
VCC 1577,12.57734,15.60278
NGC 4379,12.42075,15.60742
UGC 2413,2.94132,15.91614
VCC 1833,12.67213,15.93522
UGC 10143,16.03806,15.97456
A2147 1,16.03806,15.97472
NGC 7814,0.05414,16.14555
NGC 4515,12.55138,16.2655
A2152 1,16.09144,16.43583
A2152 2,16.09067,16.44278
UGC 685,1.1229,16.68402
NGC 4350,12.39939,16.69347
NGC 4340,12.39314,16.72246
NGC 4489,12.51451,16.75877
UGC 3974,7.69872,16.8025
NGC 3455,10.90863,17.28472
VCC 1497,12.55512,17.4594
VCC 437,12.3469,17.48713
NGC 6039,16.07766,17.70098
NGC 6041A,16.07661,17.72167
VCC 646,12.39212,17.7946
NGC 3607,11.28182,18.0519
NGC 3599,11.2575,18.11033
NGC 3608,11.28304,18.14854
NGC 4382,12.42335,18.19076
IC 3292,12.41343,18.19509
NGC 3226,10.39083,19.89836
NGC 3842,11.73394,19.9497
UGC 6203,11.16234,21.75875
UGC 9958,15.66081,21.78311
NGC 6482,17.86355,23.0719
NGC 7339,22.62974,23.78672
NGC 7332,22.62348,23.79826
UGC 8638,13.65543,24.77522
NGC 4494,12.52335,25.77468
NGC 4565,12.60577,25.98719
IC 3651,12.68136,26.72805
NGC 7720,23.64152,27.03166
NGC 4673,12.75963,27.06077
NGC 7768,23.84961,27.14734
NGC 4839,12.95677,27.4976
NGC 4840,12.95911,27.61027
NGC 4926,13.0316,27.62443
NGC 4816,12.9367,27.74543
IC 3959,12.98561,27.78422
IC 3976,12.99149,27.85034
NGC 4874,12.99324,27.95934
NGC 3414,10.85449,27.97483
NGC 4889,13.00224,27.97703
NGC 4886,13.00124,27.9875
IC 4041,13.01135,27.99649
IC 4051,13.01513,28.00747
IC 4021,13.0041,28.04131
IC 4026,13.00614,28.04699
PGC 44560,12.98719,28.0764
IC 4012,13.00221,28.07863
IC 4045,13.01352,28.09079
NGC 4881,12.99939,28.24643
NGC 3550,11.17736,28.76771
NGC 784,2.02139,28.83724
NGC 4278,12.33522,29.28064
NGC 6086,16.20988,29.48448
UGC 7369,12.32743,29.88308
NGC 7457,23.01665,30.14489
NGC 4150,12.17602,30.40157
NGC 598,1.56414,30.65993
UGC 1281,1.82566,32.58622
NGC 4203,12.25139,33.19722
NGC 2683,8.87811,33.4211
