name,ra,dec,morph_type,distance,distance_error,num_glob_clust_limit,num_glob_clust,num_glob_clust_error
A1644 1,12.95322,-17.40944,E/S0,208,14.6,,17700, 4600.0
WLM,0.03284,-15.46093,Irr,  1.00, 0.10,,    1.0,    0.0
NGC 1172,3.02668,-14.83661,E, 21.48, 2.07,,  365.0,   25.0
NGC 6822,19.74916,-14.80034,Irr,  0.52, 0.05,,    7.0,    1.0
NGC 2902,9.5147,-14.73588,S0, 33.30, 2.40,,   35.0,   20.0
NGC 720,1.88348,-13.73858,E, 27.67, 2.25,,  660.0,  190.0
NGC 7727,23.66496,-12.29284,Sab, 21.00, 9.90,,  850.0,  320.0
NGC 4594,12.66651,-11.62301,Sa,  9.77, 0.84,, 1900.0,  200.0
A754 1,9.14233,-9.63,E,239.3,16.8,,16400, 4800.0
A754 2,9.14414,-9.62525,S,240,16,, 4600.0,  800.0
NGC 1052,2.68466,-8.2558,E4, 19.35, 1.06,,  400.0,   45.0
NGC 3115DW1,10.09489,-7.98139,dEN, 10.10, 0.30,,   60.0,   20.0
NGC 3115,10.08721,-7.71856,S0, 10.00, 0.50,,  550.0,   80.0
NGC 584,1.52242,-6.86805,E4, 20.14, 1.94,,  500.0,  200.0
NGC 3818,11.69927,-6.15558,E, 36.31,11.78,,  590.0,   40.0
NGC 4697,12.81,-5.8006,E6, 12.01, 0.78,,  229.0,   70.0
NGC 1600,4.52774,-5.08608,E3, 66.00, 4.60,, 2850.0,  500.0
NGC 1700,4.94898,-4.86597,E4, 44.26, 3.38,, 1320.0,  270.0
NGC 541,1.42898,-1.37949,S0, 73.10, 5.10,, 1620.0,  450.0
A1689 BCG,13.19153,-1.33806,E/cD,790,40,,30000,20000
NGC 1132,2.88105,-1.27464,E, 96.09, 4.80,, 3613.0,  295.0
NGC 4517,12.54597,0.11462,Sc,  9.26, 0.66,,  270.0,   60.0
NGC 1055,2.69582,0.44318,Sb, 19.00, 4.00,,  210.0,   40.0
NGC 5846,15.10812,1.60629,E0, 24.89, 2.40,, 4670.0, 1195.0
NGC 5845,15.10022,1.63397,E, 25.94, 2.63,,  180.0,   30.0
NGC 5813,15.0198,1.70201,E1, 32.21, 2.78,, 2900.0,  400.0
NGC 4073,12.07419,1.89593,E/cD, 89.00, 4.50,, 8300.0,  500.0
NGC 4636,12.7138,2.68762,E0, 14.66, 0.90,, 4200.0,  120.0
NGC 3156,10.21146,3.12934,S0, 22.39, 1.49,,  115.0,   15.0
NGC 474,1.33519,3.41534,S0, 29.51, 1.53,,  609.0,   94.0
VCC 1530,12.56547,5.71859,dE2N, 16.00, 2.00,,    7.6,    4.9
NGC 4261,12.32306,5.82504,E2, 31.62, 2.89,, 1242.0,  250.0
UGC 3274,5.27692,6.4417,MG,115.7, 8.10,, 6870.0, 1970.0
CGCG 421-019,5.28199,6.55247,E,138.4, 9.70,, 6850.0, 2100.0
UGC 9799,15.27904,7.02146,E/cD,151, 8.00,,18000, 4500.0
NGC 6384,17.54006,7.0603,Sbc, 25.94, 4.54,,   60.0,   13.0
NGC 4309A,12.37075,7.16722,E, 22.95, 0.97,,    0.6,    3.5
NGC 4570,12.61484,7.2467,S0, 17.12, 0.57,,  139.0,   23.0
NGC 4612,12.69243,7.31485,S0, 16.53, 0.53,,   83.0,   25.0
NGC 4365,12.40785,7.31758,E3, 23.33, 0.65,, 3246.0,  598.0
VCC 1107,12.47509,7.32525,dE4N, 16.00, 2.00,,   25.3,    6.5
VCC 1311,12.51314,7.60576,dE1N, 16.00, 2.00,,   20.0,    6.0
NGC 4623,12.70298,7.67692,SB0, 17.31, 0.58,,   71.0,   14.0
NGC 4526,12.56751,7.69921,S0, 16.90, 1.63,,  388.0,  117.0
VCC 1333,12.51698,7.7233,dE0N, 16.00, 6.00,,   11.0,    8.0
IC 3131,12.31412,7.86164,E, 27.70, 2.00,,    8.0,    3.0
VCC 1514,12.56048,7.87319,dE7N, 16.00, 2.00,,    2.1,    2.9
VCC 1167,12.48672,7.8787,dE0N, 16.00, 2.00,,   14.0,    9.0
VCC 571,12.3781,7.95036,S0-a, 23.79, 1.12,,   10.9,    5.6
NGC 4472,12.49633,8.00039,E2, 17.03, 0.21,, 7000.0,  800.0
VCC 1254,12.50143,8.0738,dE0N, 16.00, 2.00,,   26.0,   11.0
VCC 1049,12.46523,8.09047,S0-a, 16.02, 0.58,,    8.4,    4.5
NGC 4434,12.46019,8.15431,E, 22.48, 0.78,,  141.0,   34.0
NGC 4464,12.48925,8.15656,S, 15.80, 0.54,,   25.3,    9.2
NGC 4318,12.37869,8.19827,E, 22.08, 0.62,,   18.0,    6.1
VCC 992,12.45519,8.21285,dE0N, 16.00, 2.00,,    3.5,    4.8
NGC 7626,23.34514,8.21706,E, 47.42, 2.24,, 2833.0,  300.0
VCC 503,12.36395,8.541,dE3N, 16.00, 2.00,,    2.9,    4.3
VCC 747,12.41327,8.99153,dE0N, 18.50, 2.10,,   16.4,    5.7
NGC 4483,12.51129,9.01565,S0-a, 16.75, 0.56,,   72.0,   18.0
IC 3487,12.55374,9.39724,E/S0, 16.24, 1.03,,    7.3,    4.2
VCC 1895,12.69777,9.40291,E, 15.86, 0.51,,    6.3,    4.3
VCC 1252,12.50056,9.47434,dE0N, 16.00, 2.00,,    7.6,    4.9
NGC 524,1.41325,9.53878,S0-a, 23.13, 1.20,, 3300.0, 1000.0
NGC 4578,12.62515,9.55511,S0, 16.35, 0.54,,   62.0,   13.0
NGC 4417,12.44739,9.58424,SB0, 16.03, 0.53,,   72.0,   10.0
NGC 4417,12.44739,9.58424,SB0, 16.03, 0.53,,   72.0,   10.0
NGC 4442,12.46775,9.80368,SB0, 15.31, 0.52,,  178.0,   30.0
VCC 529,12.36905,9.8945,dE4N, 16.00, 2.00,,    4.1,    4.1
IC 3633,12.66979,9.89611,E, 16.24, 0.66,,    4.5,    3.9
IC 3328,12.43274,10.05374,E, 16.85, 0.60,,   43.4,    7.9
IC 3602,12.63525,10.08245,E, 17.65, 0.78,,    9.8,    6.4
IC 3025,12.17308,10.18847,S0-a, 19.24, 1.19,,   20.7,    6.5
IC 3773,12.78758,10.20355,E, 14.38, 0.94,,   17.2,    5.4
IC 3468,12.53728,10.25147,E, 15.40, 0.53,,   24.9,    6.0
IC 3383,12.47009,10.29771,E, 16.18, 0.75,,   16.5,    5.2
VCC 1661,12.60688,10.38467,E, 15.85, 1.27,,   10.2,    4.7
IC 3647,12.68142,10.47611,Irr, 16.00, 2.00,,   10.8,    5.9
UGC 3755,7.23102,10.52106,Im,  7.41, 0.80,,    9.0,    3.0
VCC 949,12.44847,10.66578,dE4N, 23.00, 1.70,,   23.1,    6.9
VCC 1948,12.71612,10.68193,E, 16.90, 1.28,,    2.5,    3.0
NGC 4482,12.50288,10.77951,E, 18.18, 0.60,,   35.1,    7.6
IC 3490,12.55386,10.92855,E, 18.19, 1.35,,   11.7,    4.8
VCC 1363,12.5243,10.9361,dE3N, 16.00, 2.00,,    0.0,    3.0
NGC 821,2.1392,10.99501,E6, 23.38, 1.24,,  320.0,   45.0
IC 613,10.45216,11.01068,E,143.9,10.1,, 1330.0,  440.0
IC 3652,12.68294,11.18444,E, 16.10, 0.59,,   37.6,    7.4
NGC 4660,12.74221,11.19053,E, 14.97, 0.48,,  205.0,   28.0
NGC 4352,12.40139,11.21806,S0, 18.64, 0.10,,  114.0,   12.0
NGC 4762,12.8822,11.23077,SB0, 23.88, 2.50,,  240.0,   25.0
VCC 1512,12.55963,11.26194,S0, 18.37, 0.43,,    4.7,    3.8
IC 3470,12.53982,11.26291,E, 16.11, 0.57,,   60.6,    9.3
NGC 4754,12.87154,11.31364,SB0, 16.05, 0.55,,  110.0,   12.0
NGC 4528,12.56836,11.32123,S0, 15.79, 0.50,,   31.4,    7.2
VCC 1308,12.51275,11.34322,dE6N, 16.00, 2.00,,    8.2,    5.1
IC 3653,12.6877,11.38724,E, 15.49, 0.55,,   10.4,    5.0
NGC 4564,12.60749,11.4394,E, 15.87, 0.53,,  213.0,   31.0
NGC 4638,12.71317,11.44244,S0, 17.40, 0.56,,   59.8,    9.2
NGC 4649,12.72779,11.55267,E2, 17.09, 0.61,, 4000.0,  500.0
NGC 4621,12.70064,11.64731,E5, 14.85, 0.50,,  803.0,  355.0
NGC 4371,12.41539,11.70428,SB0, 16.98, 0.48,,  200.0,   41.0
IC 809,12.70241,11.75432,E, 16.05, 0.55,,   48.7,    8.4
VCC 452,12.35133,11.7547,dE4N, 16.00, 2.00,,   18.1,    6.2
NGC 4452,12.47869,11.75506,S0, 15.85, 1.07,,   52.3,    8.5
IC 3381,12.47081,11.78983,E, 16.67, 0.59,,   66.0,    9.5
IC 3461,12.5341,11.89002,E, 16.76, 0.55,,   49.7,    8.6
IC 3101,12.28879,11.94351,E, 17.82, 0.93,,   28.7,    6.7
IC 3509,12.56987,12.04898,E, 16.82, 0.64,,   54.2,    8.8
VCC 1073,12.46905,12.09329,dE3N, 16.00, 2.00,,   19.6,    6.8
IC 3779,12.78904,12.16655,E, 15.80, 0.63,,    9.2,    4.3
NGC 4550,12.59179,12.22119,SB0, 15.44, 0.49,,   84.0,   19.0
VCC 1886,12.69428,12.24738,E, 15.74, 1.39,,    3.9,    2.6
NGC 4551,12.59388,12.26397,E, 16.18, 0.56,,   47.0,   11.0
NGC 4486A,12.51603,12.27033,E, 18.36, 0.64,,   11.0,   12.0
NGC 4431,12.4576,12.29031,S0, 15.80, 0.40,,   11.0,    5.0
NGC 4478,12.50494,12.3268,E2, 17.05, 0.57,,   58.0,   11.0
NGC 4476,12.49975,12.34863,S0, 17.68, 0.65,,   20.1,    7.3
VCC 1627,12.59368,12.38204,E, 15.63, 2.07,,    3.6,    3.7
NGC 4486,12.51372,12.39122,E0, 17.00, 0.30,,13000,  800.0
VCC 1185,12.48987,12.45067,E, 16.90, 0.80,,   14.0,    5.7
VCC 940,12.44641,12.45405,dE1N, 18.70, 2.00,,   61.4,    9.5
