#Table1
oh_p50,sfr_tot_p50,bptclass
-9999,-3.19112,-1
-9999,-3.585436,-1
9.057296,0.6350172,1
-9999,-1.097563,2
-9999,-1.204325,2
-9999,-0.6297768,2
-9999,-0.5241501,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.672423,-1
-9999,0.5485734,2
-9999,0.473706,2
9.007251,-0.3124593,1
-9999,-1.247587,-1
-9999,0.09504655,-1
-9999,-1.388642,-1
8.67674,0.7301967,1
-9999,-0.9987366,5
-9999,-9999,-1
-9999,-9999,4
-9999,-9999,-1
-9999,-0.9674562,-1
-9999,-3.323979,-1
-9999,-1.147325,-1
-9999,-9999,-1
-9999,-9999,-1
8.869214,0.3672973,1
-9999,-9999,-1
8.868612,0.1255319,1
-9999,-1.659048,5
8.731245,-0.7944721,1
9.01531,0.6852195,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.598767,-1
-9999,0.4135062,5
-9999,-0.760587,-1
-9999,-9999,-1
8.691092,-0.2346753,1
-9999,-4.433742,-1
-9999,-2.828848,2
-9999,-9999,-1
-9999,0.03128162,2
-9999,-9999,-1
9.109031,0.6814018,1
-9999,-9999,-1
-9999,0.6799569,3
-9999,-0.4733928,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.1519798,3
-9999,-9999,-1
-9999,-1.683174,-1
-9999,-0.26368,2
-9999,-9999,-1
-9999,-9999,-1
-9999,0.6835167,3
8.897683,-0.05174703,1
-9999,-1.203749,-1
-9999,0.9043268,2
-9999,-9999,-1
-9999,0.927971,2
-9999,-1.691499,-1
-9999,-1.028844,-1
-9999,-9999,-1
-9999,-0.5137319,-1
-9999,-0.2657575,-1
-9999,-0.8360603,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.231596,-1
9.128778,0.4595663,1
8.618958,-1.023408,1
-9999,-0.5468429,-1
-9999,-1.283791,-1
-9999,-4.845334,-1
-9999,0.844382,2
-9999,-9999,-1
-9999,-4.594341,-1
-9999,0.5289698,2
-9999,-1.058135,-1
-9999,-0.9296792,-1
8.850184,-0.2307692,1
-9999,-0.2888238,5
-9999,-0.1251436,-1
-9999,-9999,-1
-9999,-1.533994,-1
-9999,-1.227379,5
-9999,-1.239359,-1
8.985537,0.2911151,1
-9999,-3.415541,-1
-9999,0.3418295,5
-9999,0.7060748,2
-9999,-1.074557,-1
-9999,-3.250365,-1
-9999,-0.6308166,2
-9999,-9999,-1
-9999,-9999,2
-9999,-1.14344,-1
9.010097,-0.2896549,1
9.149028,0.4161139,1
-9999,-9999,-1
-9999,-9999,2
9.209994,2.075819,1
-9999,0.007884747,2
-9999,-1.579928,-1
-9999,-0.6506836,2
-9999,-9999,-1
-9999,-9999,-1
8.909996,-2.003962,1
-9999,0.4267282,5
-9999,0.3933805,2
-9999,-9999,-1
-9999,-3.269396,-1
-9999,-9999,-1
-9999,-3.137028,-1
-9999,-4.241091,-1
-9999,-9999,-1
-9999,-0.1690936,3
-9999,-1.320458,-1
-9999,-9999,-1
-9999,-1.060566,-1
-9999,-0.809789,5
-9999,-1.084301,2
-9999,-4.839249,-1
-9999,-9999,-1
-9999,0.4611146,3
-9999,-1.243428,-1
-9999,-1.39276,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-0.2950817,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.8539758,2
-9999,-9999,-1
-9999,-1.223323,-1
-9999,-4.976592,2
9.049544,0.5330948,1
-9999,-9999,-1
-9999,-1.130528,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-0.8068243,-1
8.972392,0.0519938,1
-9999,0.428051,2
-9999,-9999,-1
-9999,-4.967257,-1
-9999,-1.33557,2
-9999,-1.527153,-1
-9999,-0.2203753,2
-9999,-4.603485,-1
8.616931,-0.2246052,1
9.048586,0.4940439,1
-9999,-9999,2
-9999,-0.06206542,2
-9999,-9999,-1
-9999,0.1237373,4
8.790002,-0.669764,1
-9999,-0.9831275,-1
-9999,-4.944608,2
8.841288,-1.74735,1
-9999,-1.677447,-1
8.62464,-0.5020127,1
-9999,-9999,-1
-9999,-1.266608,-1
-9999,-0.9914827,-1
-9999,-9999,-1
8.73071,0.5789728,1
-9999,0.4757126,3
8.84756,-0.462849,1
-9999,-1.394979,-1
-9999,-0.2188759,-1
-9999,-0.9473305,-1
-9999,-9999,-1
-9999,-1.536817,-1
-9999,-1.186717,-1
-9999,-0.5807125,2
-9999,-3.240397,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
9.134954,0.6686442,1
-9999,-0.5877892,-1
-9999,-0.8173687,-1
-9999,-4.821245,-1
8.981265,0.8243421,1
8.55055,-0.7795044,1
-9999,-9999,-1
9.080503,0.4057991,1
-9999,-0.9437747,-1
-9999,-1.485349,2
8.818307,-0.1669323,1
-9999,-1.182705,-1
-9999,-1.352396,-1
-9999,0.2906742,2
-9999,-9999,-1
-9999,-4.657066,-1
-9999,0.2136948,3
-9999,-9999,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-4.322119,-1
-9999,-9999,-1
-9999,-2.50118,-1
8.699974,0.1321272,1
8.704679,1.644904,1
-9999,-9999,2
-9999,-9999,-1
-9999,-0.3621344,-1
-9999,-1.391397,-1
-9999,0.6060649,2
8.98689,0.1385159,1
-9999,-1.155363,1
-9999,-9999,-1
-9999,-1.634031,5
-9999,-0.7850459,2
-9999,-9999,-1
-9999,0.07141339,4
-9999,-0.5366461,-1
-9999,-4.828435,-1
8.912837,0.002228421,1
9.047955,1.240393,1
-9999,-9999,-1
-9999,0.2187084,3
-9999,-3.455159,-1
8.679601,-1.467209,1
-9999,-4.982779,2
-9999,-9999,-1
-9999,0.5476299,2
-9999,-9999,-1
-9999,-1.417015,-1
-9999,-0.361131,2
-9999,-1.428661,5
-9999,-9999,-1
-9999,-9999,-1
-9999,0.7461194,2
-9999,-9999,-1
-9999,-3.609461,-1
-9999,-0.852231,-1
-9999,-9999,-1
-9999,-4.911007,-1
-9999,-1.325361,-1
-9999,-9999,-1
-9999,-1.068637,-1
-9999,-9999,-1
8.980766,0.7755495,1
8.87241,-0.2417939,1
-9999,-9999,-1
-9999,-1.20842,-1
-9999,-9999,-1
-9999,0.1549915,-1
-9999,-0.8479019,-1
-9999,0.6786678,2
8.86582,-0.2149726,1
-9999,-3.360577,-1
-9999,1.09128,2
-9999,-9999,-1
-9999,0.4463695,2
-9999,0.6694605,2
-9999,-1.009185,-1
-9999,-0.5881069,-1
-9999,-1.255601,-1
-9999,-9999,3
-9999,-9999,-1
-9999,-0.9286334,-1
-9999,-3.73274,-1
-9999,-9999,-1
-9999,2.062764,3
-9999,-9999,-1
-9999,-1.118565,-1
-9999,-2.766598,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.777751,-1
-9999,-0.9493332,3
-9999,-9999,-1
-9999,-1.144794,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
8.792495,0.2873929,1
-9999,-9999,-1
8.602996,0.574765,1
-9999,-9999,2
-9999,-9999,5
-9999,-1.450997,-1
-9999,-1.738365,-1
-9999,-0.1744348,5
-9999,0.346435,2
-9999,-1.21634,-1
-9999,-9999,-1
-9999,-0.3195742,-1
-9999,-0.8786669,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-0.7725662,2
-9999,-9999,-1
-9999,0.2607867,3
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.170063,-1
-9999,-0.9735037,-1
-9999,-1.416164,-1
-9999,-1.125063,5
-9999,-0.6649239,2
-9999,-9999,-1
-9999,-9999,-1
8.738261,-1.143429,1
-9999,-0.9516304,-1
-9999,-9999,-1
8.802065,-0.1789968,1
-9999,-1.330922,-1
-9999,-4.320798,-1
-9999,-9999,-1
-9999,-9999,-1
8.520177,-0.6855684,1
-9999,-0.7448421,5
-9999,-9999,-1
8.947066,-0.426143,1
-9999,0.2018025,-1
8.722163,0.9647824,1
-9999,-1.392403,-1
-9999,-1.446091,-1
-9999,-1.41511,-1
-9999,0.7709081,3
-9999,0.5739495,2
-9999,-0.09629907,2
-9999,-3.799843,-1
-9999,-1.290743,-1
-9999,-0.5167719,5
-9999,-1.431106,2
-9999,-1.781175,-1
-9999,0.4320868,3
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.307218,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.332215,-1
-9999,-3.674216,-1
-9999,-9999,-1
-9999,-0.3419245,-1
8.950221,0.8911316,1
-9999,-9999,-1
8.58596,-0.9159553,1
9.000822,0.5442645,1
-9999,1.20109,3
-9999,-1.210621,-1
-9999,-4.692461,-1
-9999,-1.00084,-1
-9999,-9999,-1
-9999,-3.333685,-1
-9999,0.1863512,-1
9.01157,0.3205498,1
-9999,-1.280502,-1
-9999,-9999,-1
-9999,0.9978691,4
-9999,0.9004586,2
-9999,-4.892776,2
-9999,-0.8847249,-1
-9999,-4.631854,-1
8.888865,-0.5795842,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
8.650052,-0.5040169,1
-9999,-9999,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-1.229655,-1
-9999,-9999,-1
-9999,-0.4194213,-1
8.896662,0.2949866,1
-9999,-0.797915,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-1.184103,-1
-9999,-4.804949,-1
-9999,-1.694013,-1
-9999,-4.810836,-1
8.810435,0.3785865,1
-9999,-1.048108,-1
-9999,0.617094,3
-9999,0.8378889,2
-9999,-9999,-1
9.059958,0.8994951,1
-9999,-0.6370296,-1
-9999,-0.8106276,2
-9999,-9999,-1
-9999,1.258249,3
-9999,-9999,-1
9.165991,1.706468,1
-9999,-3.396768,-1
-9999,-4.050913,-1
-9999,-9999,-1
-9999,-3.403405,-1
-9999,-9999,2
-9999,-0.3129852,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.808709,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.008632,-1
-9999,-0.958863,-1
-9999,-4.905519,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.4059621,5
-9999,-4.919645,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.783926,-1
-9999,-9999,-1
-9999,-0.6541438,5
8.607383,-0.09745014,1
-9999,-1.779891,-1
8.270863,0.5016355,1
-9999,-9999,-1
-9999,-0.9919204,-1
-9999,-1.077851,-1
-9999,-9999,-1
-9999,-0.7810646,-1
-9999,-9999,-1
-9999,0.6523111,2
8.997449,-0.8124098,1
9.048469,-0.08052357,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-0.555469,5
-9999,-0.8479464,2
-9999,-0.5914806,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.17393,-1
-9999,-0.553736,-1
-9999,-3.228418,-1
-9999,-1.615443,2
-9999,0.3690107,2
8.061058,-0.7590799,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-1.547352,-1
8.996296,-0.1198198,1
9.030922,0.3345238,1
9.071696,0.5104762,1
8.449709,-1.641711,1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.1118343,2
-9999,-0.2273058,3
-9999,-0.8850068,-1
-9999,-9999,-1
-9999,0.7216699,2
-9999,-1.376036,-1
-9999,-1.110703,-1
-9999,-9999,-1
-9999,0.07926811,-1
-9999,-1.008186,-1
8.972206,0.1548478,1
-9999,-3.866001,-1
-9999,-9999,-1
-9999,-9999,-1
8.760168,0.02827392,1
9.082567,0.2888285,1
8.898121,0.1429884,1
-9999,-9999,-1
-9999,-0.686343,2
-9999,-9999,-1
8.536351,-0.5379308,1
-9999,-1.030082,-1
8.996415,0.8986881,1
-9999,-4.605163,-1
-9999,0.6739786,2
-9999,-0.09588851,-1
-9999,-2.022463,-1
-9999,-0.03148717,2
-9999,-9999,-1
-9999,-1.085477,5
-9999,-0.3823815,-1
-9999,-9999,-1
9.084148,0.3379736,1
-9999,-9999,-1
-9999,-1.141139,-1
8.696474,-0.1720607,1
-9999,-0.5197876,2
-9999,0.5635697,2
-9999,-1.698209,-1
-9999,-9999,-1
-9999,0.3209491,2
-9999,-9999,5
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
9.159707,0.6989799,1
-9999,-1.231365,-1
-9999,0.2013598,3
-9999,-9999,2
-9999,-1.603697,5
-9999,-1.176059,-1
-9999,-0.04745259,2
-9999,0.2594973,3
-9999,-9999,-1
-9999,-4.532552,-1
-9999,-3.617532,-1
-9999,-0.4026833,-1
-9999,-0.4847073,5
8.737254,-0.3833028,1
-9999,-1.143392,-1
9.120431,-1.656165,1
-9999,-4.873604,-1
-9999,-0.9567758,1
-9999,0.2427588,2
9.128761,1.637167,1
-9999,-4.855588,-1
8.872287,-0.545776,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-3.746171,-1
-9999,-0.9523879,5
-9999,-0.4194127,2
-9999,-9999,-1
-9999,-1.318148,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,0.1009857,2
-9999,-4.80156,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-0.3344048,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-1.39246,-1
-9999,1.778419,3
8.965483,-0.228076,1
8.73364,0.05588251,1
-9999,-9999,-1
8.937364,0.3369692,1
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,2
-9999,-9999,-1
-9999,-9999,-1
-9999,-9999,-1
-9999,-4.015868,-1
-9999,-9999,-1
-9999,-9999,-1
